surface,tourney_level,player_hand,player_ht,player_age,opponent_hand,opponent_ht,opponent_age,best_of,player_ace,player_df,player_svpt,player_1stIn,player_1stWon,player_2ndWon,player_SvGms,player_bpSaved,player_bpFaced,opponent_ace,opponent_df,opponent_svpt,opponent_1stIn,opponent_1stWon,opponent_2ndWon,opponent_SvGms,opponent_bpSaved,opponent_bpFaced,player_rank,opponent_rank,result
Hard,A,R,193.0,22.1,R,185.0,22.8,3,11.0,2.0,39.0,23.0,22.0,11.0,8.0,1.0,1.0,3.0,1.0,57.0,32.0,18.0,10.0,8.0,7.0,11.0,31.0,329.0,True
Hard,A,R,188.0,23.1,R,185.0,26.3,3,5.0,2.0,107.0,62.0,45.0,20.0,15.0,8.0,12.0,13.0,8.0,92.0,55.0,44.0,13.0,14.0,6.0,9.0,28.0,4.0,True
Hard,A,R,198.0,31.2,R,183.0,26.3,3,15.0,3.0,94.0,58.0,48.0,23.0,16.0,2.0,2.0,11.0,2.0,103.0,65.0,46.0,24.0,16.0,3.0,5.0,38.0,105.0,True
Hard,A,R,185.0,26.3,R,170.0,27.3,3,5.0,0.0,68.0,44.0,33.0,11.0,10.0,2.0,4.0,0.0,3.0,75.0,50.0,29.0,13.0,11.0,5.0,9.0,4.0,13.0,True
Hard,A,R,183.0,26.3,L,185.0,29.6,3,6.0,1.0,94.0,64.0,42.0,16.0,13.0,7.0,10.0,3.0,3.0,81.0,38.0,30.0,23.0,13.0,2.0,4.0,105.0,25.0,True
Hard,A,R,196.0,22.8,R,185.0,26.3,3,10.0,2.0,122.0,74.0,55.0,22.0,16.0,8.0,10.0,5.0,5.0,94.0,53.0,43.0,20.0,15.0,5.0,6.0,37.0,4.0,True
Hard,A,R,183.0,20.9,R,183.0,26.3,3,6.0,4.0,113.0,67.0,51.0,21.0,17.0,9.0,13.0,7.0,4.0,112.0,70.0,47.0,22.0,16.0,9.0,13.0,448.0,105.0,True
Hard,A,R,170.0,27.3,R,188.0,23.1,3,2.0,0.0,48.0,31.0,24.0,12.0,8.0,2.0,2.0,1.0,1.0,49.0,30.0,18.0,7.0,8.0,2.0,6.0,13.0,28.0,True
Hard,A,L,185.0,29.6,R,198.0,31.2,3,4.0,3.0,72.0,42.0,30.0,18.0,11.0,5.0,6.0,12.0,2.0,63.0,38.0,29.0,11.0,10.0,5.0,7.0,25.0,38.0,True
Hard,A,R,196.0,22.8,R,188.0,23.1,3,9.0,0.0,40.0,25.0,21.0,11.0,8.0,0.0,0.0,2.0,2.0,55.0,38.0,20.0,7.0,8.0,4.0,8.0,37.0,28.0,True
Hard,A,R,198.0,31.2,R,183.0,20.9,3,4.0,3.0,73.0,46.0,39.0,14.0,11.0,4.0,4.0,8.0,2.0,96.0,52.0,35.0,23.0,11.0,12.0,13.0,38.0,448.0,True
Hard,A,R,196.0,22.8,R,170.0,27.3,3,18.0,3.0,95.0,66.0,51.0,11.0,14.0,5.0,6.0,1.0,3.0,90.0,48.0,34.0,21.0,13.0,2.0,5.0,37.0,13.0,True
Hard,A,L,185.0,29.6,R,183.0,23.9,3,9.0,3.0,72.0,32.0,26.0,20.0,12.0,4.0,7.0,3.0,3.0,81.0,40.0,28.0,16.0,12.0,10.0,15.0,25.0,97.0,True
Hard,A,R,193.0,21.4,R,198.0,22.7,3,2.0,1.0,45.0,29.0,24.0,10.0,9.0,0.0,1.0,2.0,10.0,55.0,25.0,16.0,11.0,8.0,3.0,7.0,6.0,7.0,True
